experiment, dataset, trainingset, accuracy, loss, n, stddev
0.02, font, gan, 0.9954599999999999, 0.068954873, 5, 0.00015165750888106188
0.02, font, mnist+gan, 0.100500462, 128.39185519999998, 5, 0.0012868610046426903
0.02, font, mnist, 0.5846963319999999, 49.378076, 5, 0.006727520657130687
0.02, font, font, 0.8497250000000001, 6.566310124999999, 4, 0.006532164011004833
0.02, gan, font, 0.23668000000000006, 163.00001809999998, 5, 0.33208740867428266
0.02, gan, gan, 0.11772, 245.39437000000004, 5, 0.009847182338110739
0.02, gan, mnist+gan, 0.7592956479999999, 3.9300902399999997, 5, 0.0034840334973805986
0.02, gan, mnist, 0.32172783, 132.35755, 5, 0.004130207181897785
0.02, mnist+font, font, 0.78656, 40.989767539999995, 5, 0.39744725813622117
0.02, mnist+font, gan, 0.99534, 0.07735676820000001, 5, 0.00015165750888107286
0.02, mnist+font, mnist+gan, 0.1011306764, 137.92940200000004, 5, 0.0004060971142286034
0.02, mnist+font, mnist, 0.66211107, 49.0278696, 5, 0.0017696074958871621
0.02, mnist+gan, font, 0.9221400000000001, 11.35262252, 5, 0.02558863028768833
0.02, mnist+gan, gan, 0.46974, 131.710654, 5, 0.014613110551829813
0.02, mnist+gan, mnist+gan, 0.767228904, 2.99700744, 5, 0.006216251111987024
0.02, mnist+gan, mnist, 0.861903208, 9.9706604, 5, 0.005580570170271122
0.02, mnist, font, 0.96022, 3.1069675119999998, 5, 0.022054523345563397
0.02, mnist, gan, 0.64596, 13.577415400000001, 5, 0.005789905007856352
0.02, mnist, mnist+gan, 0.1016126048, 81.5078362, 5, 0.00035654125637182637
0.02, mnist, mnist, 0.66595648, 29.000223, 5, 0.0007527500063101666
0.03, font, font, 0.86618, 5.765859608, 5, 0.05993548197854088
0.03, font, gan, 0.99602, 0.0690666162, 5, 0.00030331501776202863
0.03, font, mnist+gan, 0.09773280899999999, 109.5747672, 5, 0.0037558454334284085
0.03, font, mnist, 0.580426404, 43.1932168, 5, 0.007896946509425677
0.03, gan, font, 0.25172, 173.2775682, 5, 0.3241947362311733
0.03, gan, gan, 0.1112, 284.15915, 5, 0.013792207945068115
0.03, gan, mnist+gan, 0.65437513, 3.7621476199999995, 5, 0.005937912895706724
