experiment; dataset; trainingset; accuracy; loss; n; stddev
0,001; font; gan; 0,99594; 0,0647077472; 5; 0,0003361547262793952
0,001; font; mnist+gan; 0,1011522144; 138,47054699999998; 5; 0,0018832927057633169
0,001; font; mnist; 0,59284137; 51,1822924; 5; 0,006981901006316253
0,001; font; font; 0,8379500000000001; 7,372864399999999; 4; 0,010412972678346927
0,001; gan; font; 0,263; 158,1511398; 5; 0,3162208642705285
0,001; gan; gan; 0,12616; 243,301744; 5; 0,005345371829910437
0,001; gan; mnist+gan; 0,38265615799999997; 8,395040600000002; 5; 0,005039395717962637
0,001; gan; mnist; 0,20737272199999998; 134,774504; 5; 0,004070268343815918
0,001; mnist+font; font; 0,7186400000000001; 45,65777926; 5; 0,3363944009641064
0,001; mnist+font; gan; 0,99602; 0,0630285408; 5; 0,00030331501776202863
0,001; mnist+font; mnist+gan; 0,1029714982; 147,20027199999998; 5; 0,002054513565296224
0,001; mnist+font; mnist; 0,6146785260000001; 52,60071419999999; 5; 0,0026859886240228233
0,001; mnist+gan; font; 0,40876; 110,92924554000001; 5; 0,2540886321738932
0,001; mnist+gan; gan; 0,18424000000000001; 216,64799; 5; 0,0060508677063707056
0,001; mnist+gan; mnist+gan; 0,387305444; 8,259552000000001; 5; 0,004967945593852648
0,001; mnist+gan; mnist; 0,329658126; 92,96009000000001; 5; 0,011308257480433506
0,001; mnist; font; 0,66496; 29,19102768; 5; 0,19034921328967977
0,001; mnist; gan; 0,42347999999999997; 15,055136100000002; 5; 0,008414689536756547
0,001; mnist; mnist+gan; 0,10220335620000001; 46,106601999999995; 5; 0,00023048128754781872
0,001; mnist; mnist; 0,53751255; 18,4250246; 5; 0,007148208642030542
0,003; font; font; 0,8206200000000001; 7,07818966; 5; 0,031856820305862316
0,003; font; gan; 0,9957800000000001; 0,067996607; 5; 0,0004658325879541108
0,003; font; mnist+gan; 0,097630142; 105,5003788; 5; 0,0028066461611628226
0,003; font; mnist; 0,5908415400000001; 40,2007346; 5; 0,0031747569187262044
0,003; gan; font; 0,24463999999999997; 191,48455560000002; 5; 0,32903046667444036
0,003; gan; gan; 0,09096000000000001; 313,59173; 5; 0,015074083720080636
0,003; gan; mnist+gan; 0,39149280399999997; 6,30837174; 5; 0,0032704571760734033
0,003; gan; mnist; 0,195514498; 158,13673; 5; 0,008304585371628738
0,003; mnist+font; font; 0,75574; 46,27874954; 5; 0,3646292953123761
0,003; mnist+font; gan; 0,99604; 0,0618120298; 5; 0,0003781534080237391
0,003; mnist+font; mnist+gan; 0,09370062800000001; 117,863233; 5; 0,0022582505701388626
