experiment, dataset, trainingset, accuracy, loss
0.1, font, gan, 0.9954599999999999, 0.0176362252
0.1, font, mnist+gan, 0.707369284, 4.776410200000001
0.1, font, mnist, 0.7955059120000001, 2.8406491600000003
0.1, font, font, 0.8401000000000001, 1.8731240500000002
0.1, gan, font, 0.8308399999999999, 1.3068180799999998
0.1, gan, gan, 0.7320599999999999, 2.32173522
0.1, gan, mnist+gan, 0.97234, 0.1062155918
0.1, gan, mnist, 0.87574398, 0.818681998
0.1, mnist+gan, font, 0.9318, 0.38504314199999995
0.1, mnist+gan, gan, 0.79992, 1.4363889200000002
0.1, mnist+gan, mnist+gan, 0.971330502, 0.1052788072
0.1, mnist+gan, mnist, 0.9639136120000001, 0.15213712
0.1, mnist, font, 0.97578, 0.0868183558
0.1, mnist, gan, 0.6978800000000001, 1.42177746
0.1, mnist, mnist+gan, 0.7473450400000001, 1.6515530600000001
0.1, mnist, mnist, 0.9023206159999999, 0.5954673880000001
0.2, font, font, 0.8690200000000001, 1.35692446
0.2, font, gan, 0.9948799999999999, 0.0188598944
0.2, font, mnist+gan, 0.7617079299999999, 3.1315228
0.2, font, mnist, 0.813830448, 2.19584506
0.2, gan, font, 0.8029400000000001, 1.9032338199999999
0.2, gan, gan, 0.75108, 2.00025316
0.2, gan, mnist+gan, 0.9955484859999999, 0.013897436099999999
0.2, gan, mnist, 0.860862326, 1.25974182
0.2, mnist+gan, font, 0.9461599999999999, 0.429289578
0.2, mnist+gan, gan, 0.81666, 1.29340876
0.2, mnist+gan, mnist+gan, 0.994549152, 0.0145671534
0.2, mnist+gan, mnist, 0.984558764, 0.074046916
0.2, mnist, font, 0.98498, 0.058678154999999996
0.2, mnist, gan, 0.7214, 1.6401446199999998
0.2, mnist, mnist+gan, 0.7982284959999999, 1.81354194
0.2, mnist, mnist, 0.9284871200000001, 0.5959992759999999
0.3, font, font, 0.8589800000000001, 1.4902761999999998
0.3, font, gan, 0.99476, 0.018172216600000003
0.3, font, mnist+gan, 0.72403944, 3.8381996999999997
0.3, font, mnist, 0.7979641980000001, 2.44052848
0.3, gan, font, 0.8354000000000001, 1.5972068199999998
0.3, gan, gan, 0.66116, 4.0312309200000005
0.3, gan, mnist+gan, 0.9921079939999998, 0.026291369599999996
0.3, gan, mnist, 0.8816921800000002, 1.0748588600000002
0.3, mnist+gan, font, 0.9545999999999999, 0.36548789319999997
0.3, mnist+gan, gan, 0.8063800000000001, 1.43626556
0.3, mnist+gan, mnist+gan, 0.991796446, 0.0265072292
0.3, mnist+gan, mnist, 0.9855039000000001, 0.06380186200000001
0.3, mnist, font, 0.9881, 0.045046521799999996
0.3, mnist, gan, 0.74048, 1.61785602
0.3, mnist, mnist+gan, 0.8313603220000001, 1.63775464
0.3, mnist, mnist, 0.944859946, 0.48905956600000006
0.4, font, font, 0.8667, 1.2648073464
0.4, font, gan, 0.9942799999999998, 0.0209755784
0.4, font, mnist+gan, 0.7657783220000001, 3.16552544
0.4, font, mnist, 0.8151105080000001, 2.0319720400000003
0.4, gan, font, 0.8536400000000001, 1.2205230500000002
0.4, gan, gan, 0.7057, 2.4413672400000004
0.4, gan, mnist+gan, 0.9798909800000001, 0.059019752999999994
0.4, gan, mnist, 0.8932341100000001, 0.7793723440000001
0.4, mnist+gan, font, 0.9609, 0.24604374580000005
0.4, mnist+gan, gan, 0.81698, 1.18147156
0.4, mnist+gan, mnist+gan, 0.97976984, 0.0610701654
0.4, mnist+gan, mnist, 0.983385946, 0.06312138739999999
0.4, mnist, font, 0.98704, 0.045160971
0.4, mnist, gan, 0.75332, 1.47980184
0.4, mnist, mnist+gan, 0.804845544, 1.50476736
0.4, mnist, mnist, 0.9425950999999999, 0.411604628
0.5, font, font, 0.86646, 1.1704369959999998
0.5, font, gan, 0.9936999999999999, 0.022435662000000002
0.5, font, mnist+gan, 0.836442828, 1.46130996
0.5, font, mnist, 0.8355154760000001, 1.4981677599999998
0.5, gan, font, 0.86496, 0.977783466
0.5, gan, gan, 0.7273400000000001, 2.00744784
0.5, gan, mnist+gan, 0.9933212339999999, 0.020225310399999998
0.5, gan, mnist, 0.8999137660000001, 0.6098386679999999
0.5, mnist+gan, font, 0.9663, 0.18088064780000002
0.5, mnist+gan, gan, 0.80138, 1.2039044
0.5, mnist+gan, mnist+gan, 0.9928130599999999, 0.025627460600000002
0.5, mnist+gan, mnist, 0.989306148, 0.0422876316
0.5, mnist, font, 0.99042, 0.0360449552
0.5, mnist, gan, 0.76206, 1.3352124399999998
0.5, mnist, mnist+gan, 0.8660617319999998, 1.0159728
0.5, mnist, mnist, 0.963951404, 0.24775582599999998
0.6, font, font, 0.86776, 1.1009794922
0.6, font, gan, 0.9930999999999999, 0.02398993
0.6, font, mnist+gan, 0.806079854, 1.9533716600000002
0.6, font, mnist, 0.83210422, 1.4651089799999997
0.6, gan, font, 0.87002, 0.896843652
0.6, gan, gan, 0.7752800000000001, 1.42185698
0.6, gan, mnist+gan, 0.980399276, 0.06750708000000001
0.6, gan, mnist, 0.89542773, 0.666739702
0.6, mnist+gan, font, 0.9654399999999999, 0.20765379820000002
0.6, mnist+gan, gan, 0.85832, 0.8042852180000001
0.6, mnist+gan, mnist+gan, 0.9795825600000001, 0.07360578799999999
0.6, mnist+gan, mnist, 0.9863323659999998, 0.056452206399999996
0.6, mnist, font, 0.99046, 0.036131782200000004
0.6, mnist, gan, 0.77546, 1.50729834
0.6, mnist, mnist+gan, 0.835117952, 1.50187212
0.6, mnist, mnist, 0.9631104479999999, 0.30693370999999997
0.7, font, font, 0.85944, 1.0753189072
0.7, font, gan, 0.9901199999999999, 0.034349366799999996
0.7, font, mnist+gan, 0.7776299959999999, 1.7738286600000002
0.7, font, mnist, 0.815428166, 1.4362994
0.7, gan, font, 0.85416, 0.9198824200000001
0.7, gan, gan, 0.7167600000000001, 1.8593410599999998
0.7, gan, mnist+gan, 0.97363965, 0.0893641
0.7, gan, mnist, 0.88295864, 0.66016501
0.7, mnist+gan, font, 0.9655400000000001, 0.18248269860000002
0.7, mnist+gan, gan, 0.82412, 0.990726796
0.7, mnist+gan, mnist+gan, 0.96892381, 0.1132334312
0.7, mnist+gan, mnist, 0.9863051199999999, 0.0548349836
0.7, mnist, font, 0.99068, 0.035150823
0.7, mnist, gan, 0.77356, 1.45728734
0.7, mnist, mnist+gan, 0.833252732, 1.48502262
0.7, mnist, mnist, 0.96859447, 0.242676402
0.8, font, font, 0.8547799999999999, 0.9822988636000002
